Job Title,Company,Location,Expiry,Job Type,Posted
Electronic Engineer/Technician,Ixar Mobile ~~ 0,Harare,Expires 19 Apr 2025,Full Time,Posted 8 minutes
ASSISTANT LOANS OFFICER,Vacancy Mail,Harare,Expires 14 May 2025,Full Time,Posted 33 minutes
Heavy Machinery Truck Sales Executive,ST-ONE Machinery,Harare,Expires 30 Apr 2025,Full Time,"Posted 1 hour, 47 minutes"
Sales and Business Development Officer,Vacancy Mail,Harare,Expires 07 May 2025,Full Time,"Posted 21 hours, 12 minutes"
Personal Assistant to CEO,Southsea Investments Pvt Ltd,Harare,Expires 24 Apr 2025,Full Time,"Posted 2 days, 19 hours"
Supply Chain Attachee (Mutare Branch),Nash Paints,Mutare,Expires 14 Apr 2025,Full Time,"Posted 2 days, 19 hours"
SALES AND MARKETING  INTERN,Nash Paints,Mutare,Expires 14 Apr 2025,Full Time,"Posted 2 days, 19 hours"
Sales Representative - Gokwe,Vacancy Mail,Gokwe,Expires 18 Apr 2025,Full Time,"Posted 2 days, 20 hours"
General Hand,Vacancy Mail,Harare,Expires 18 Apr 2025,Full Time,"Posted 2 days, 21 hours"
Business Development Executive,Vacancy Mail,Harare,Expires 18 Apr 2025,Full Time,"Posted 2 days, 21 hours"
